file,split,type,clustering_coefficient,num_nodes,num_edges
graph_1_2024_06_26_PARIS_Noyau_Org_6_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.42194082959678425,2645,21160
graph_1_2024_06_26_PARIS_Noyau_Org_7_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.44550073305593807,1585,12680
graph_1_2024_06_26_PARIS_Noyau_Org_9_cystic_J7_20X_8bit_Cystiques.pt,train,Cystiques,0.5033822287770487,1583,12664
graph_1_2024_07_18_PARIS_Noyau_Org_10_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.42379057716159046,2477,19816
graph_1_2024_07_18_PARIS_Noyau_Org_14_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4353008771862548,1867,14936
graph_1_2024_07_18_PARIS_Noyau_Org_1_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4767001744386209,3051,24408
graph_1_2024_07_18_PARIS_Noyau_Org_3_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4857196156452662,1614,12912
graph_1_2024_07_18_PARIS_Noyau_Org_5_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.455770417711942,1522,12176
graph_1_2024_07_18_PARIS_Noyau_Org_6_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.41561181258467866,2053,16424
graph_1_2024_07_18_PARIS_Noyau_Org_7_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4195627214586322,2690,21520
graph_1_2024_07_18_PARIS_Noyau_Org_8_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.44390576345088184,2704,21632
graph_1_2024_07_24_PARIS_Noyau_Org_10_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.43448796756221353,2155,17240
graph_1_2024_07_24_PARIS_Noyau_Org_11_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4368872935924126,1387,11096
graph_1_2024_07_24_PARIS_Noyau_Org_12_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.408810777104228,2382,19056
graph_1_2024_07_24_PARIS_Noyau_Org_2_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.47324732880288434,1728,13824
graph_1_2024_07_24_PARIS_Noyau_Org_4_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4606020861411005,1948,15584
graph_1_2024_07_24_PARIS_Noyau_Org_5_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4583736459804836,1404,11232
graph_1_2024_07_24_PARIS_Noyau_Org_6_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4131786707614986,2143,17144
graph_1_2024_07_24_PARIS_Noyau_Org_8_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.43928407193713315,1960,15680
graph_1_2024_07_24_PARIS_Noyau_Org_9_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.5178499511225126,1097,8776
graph_1_2024_08_20_PARIS_Noyau_Org_10_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.455129840257319,1765,14120
graph_1_2024_08_20_PARIS_Noyau_Org_12_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.43213937763846605,2194,17552
graph_1_2024_08_20_PARIS_Noyau_Org_14_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4344161220384313,1533,12264
graph_1_2024_08_20_PARIS_Noyau_Org_15_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.44324671494545415,1507,12056
graph_1_2024_08_20_PARIS_Noyau_Org_16_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4627279424460797,1224,9792
graph_1_2024_08_20_PARIS_Noyau_Org_17_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.45475549208861354,1573,12584
graph_1_2024_08_20_PARIS_Noyau_Org_18_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.44997666099781103,1513,12104
graph_1_2024_08_20_PARIS_Noyau_Org_1_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4685324638767752,1670,13360
graph_1_2024_08_20_PARIS_Noyau_Org_20_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4585151550350822,1228,9824
graph_1_2024_08_20_PARIS_Noyau_Org_2_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4573525847552853,1259,10072
graph_1_2024_08_20_PARIS_Noyau_Org_3_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4657675938181354,1385,11080
graph_1_2024_08_20_PARIS_Noyau_Org_4_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.46639313608623073,1173,9384
graph_1_2024_08_20_PARIS_Noyau_Org_5_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.43925281322259346,2184,17472
graph_1_2024_08_20_PARIS_Noyau_Org_7_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4784477025004765,1478,11824
graph_1_2024_09_10_PARIS_Noyau_Org_10_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.43202903628727807,1456,11648
graph_1_2024_09_10_PARIS_Noyau_Org_13_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.43465315014468925,2336,18688
graph_1_2024_09_10_PARIS_Noyau_Org_14_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.43378087483323885,1967,15736
graph_1_2024_09_10_PARIS_Noyau_Org_16_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4326271278139678,2462,19696
graph_1_2024_09_10_PARIS_Noyau_Org_17_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.43277695464708454,1925,15400
graph_1_2024_09_10_PARIS_Noyau_Org_18_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.443319600362944,1938,15504
graph_1_2024_09_10_PARIS_Noyau_Org_19_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4135796616368906,3320,26560
graph_1_2024_09_10_PARIS_Noyau_Org_1_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.44489250710081674,1757,14056
graph_1_2024_09_10_PARIS_Noyau_Org_20_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.43008180258806306,2396,19168
graph_1_2024_09_10_PARIS_Noyau_Org_21_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4296773720721208,2209,17672
graph_1_2024_09_10_PARIS_Noyau_Org_27_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.43383355703999915,1366,10928
graph_1_2024_09_10_PARIS_Noyau_Org_29_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.44026867533997655,1683,13464
graph_1_2024_09_10_PARIS_Noyau_Org_30_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.426048510500229,1833,14664
graph_1_2024_09_10_PARIS_Noyau_Org_31_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4169052922321751,1912,15296
graph_1_2024_09_10_PARIS_Noyau_Org_32_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4290015683033463,2511,20088
graph_1_2024_09_10_PARIS_Noyau_Org_33_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.44478283428055115,1971,15768
graph_1_2024_09_10_PARIS_Noyau_Org_35_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4345195105756048,1444,11552
graph_1_2024_09_10_PARIS_Noyau_Org_36_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4406213055362978,1941,15528
graph_1_2024_09_10_PARIS_Noyau_Org_37_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.41493203558867037,2494,19952
graph_1_2024_09_10_PARIS_Noyau_Org_38_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4287333641470071,2067,16536
graph_1_2024_09_10_PARIS_Noyau_Org_39_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.439836963036963,1750,14000
graph_1_2024_09_10_PARIS_Noyau_Org_4_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.43435340398129474,1516,12128
graph_1_2024_09_10_PARIS_Noyau_Org_5_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4227914127130651,2106,16848
graph_1_2024_09_10_PARIS_Noyau_Org_7_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.42833228298938414,2056,16448
graph_1_2024_09_10_PARIS_Noyau_Org_8_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.44783653457200856,3924,31392
graph_1_2024_09_10_PARIS_Noyau_Org_9_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.44390043441858273,1901,15208
graph_1_2024_10_03_PARIS_Noyau_Org_11_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.45844340087472757,1711,13688
graph_1_2024_10_03_PARIS_Noyau_Org_12_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4679045327555091,2919,23352
graph_1_2024_10_03_PARIS_Noyau_Org_13_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.49624380562485004,1034,8272
graph_1_2024_10_03_PARIS_Noyau_Org_14_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.44802265247513834,1589,12712
graph_1_2024_10_03_PARIS_Noyau_Org_15_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4845423624300789,1678,13424
graph_1_2024_10_03_PARIS_Noyau_Org_16_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4472857648103455,1729,13832
graph_1_2024_10_03_PARIS_Noyau_Org_17_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4570420510621937,2383,19064
graph_1_2024_10_03_PARIS_Noyau_Org_18_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.446574209335044,3738,29904
graph_1_2024_10_03_PARIS_Noyau_Org_19_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.47279253583284664,2059,16472
graph_1_2024_10_03_PARIS_Noyau_Org_1_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4509673859600981,2825,22600
graph_1_2024_10_03_PARIS_Noyau_Org_4_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4551889663964381,1499,11992
graph_1_2024_10_03_PARIS_Noyau_Org_5_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4681391308599789,2547,20376
graph_1_2024_10_03_PARIS_Noyau_Org_6_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4759554254972921,1483,11864
graph_1_2024_10_03_PARIS_Noyau_Org_7_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4556981535943668,2139,17112
graph_1_2024_10_03_PARIS_Noyau_Org_8_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.46896813658234976,2955,23640
graph_1_2024_10_03_PARIS_Noyau_Org_9_cauliflower_J7_40X_8bit_Chouxfleurs.pt,train,Choux-fleurs,0.4665178031111444,1682,13456
graph_1_2024_10_31_PARIS_Noyau_Org _10_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4828631417658333,1449,11592
graph_1_2024_10_31_PARIS_Noyau_Org _11_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4951233531645903,970,7760
graph_1_2024_10_31_PARIS_Noyau_Org _12_cystic_J7_20X_8bit_Cystiques.pt,train,Cystiques,0.5109421295929233,1512,12096
graph_1_2024_10_31_PARIS_Noyau_Org _13_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4797582410519844,2829,22632
graph_1_2024_10_31_PARIS_Noyau_Org _14_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.49797502880906425,1187,9496
graph_1_2024_10_31_PARIS_Noyau_Org _16_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.479729713634499,2027,16216
graph_1_2024_10_31_PARIS_Noyau_Org _17_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4905048701744434,2179,17432
graph_1_2024_10_31_PARIS_Noyau_Org _19_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5087917568830432,1205,9640
graph_1_2024_10_31_PARIS_Noyau_Org _1_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4666209470964514,1388,11104
graph_1_2024_10_31_PARIS_Noyau_Org _20_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.47494423603286406,2471,19768
graph_1_2024_10_31_PARIS_Noyau_Org _2_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4867907740469946,1487,11896
graph_1_2024_10_31_PARIS_Noyau_Org _3_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4945946435140934,1527,12216
graph_1_2024_10_31_PARIS_Noyau_Org _4_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.47509561176429377,1654,13232
graph_1_2024_10_31_PARIS_Noyau_Org _5_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4588018876680158,1733,13864
graph_1_2024_10_31_PARIS_Noyau_Org _6_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5032689674997367,780,6240
graph_1_2024_10_31_PARIS_Noyau_Org _7_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.49223639435760647,1485,11880
graph_1_2024_10_31_PARIS_Noyau_Org _8_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.47045478604591906,2030,16240
graph_1_2025_01_28_PARIS_Noyau_Org _13_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5303018727483214,887,7096
graph_1_2025_01_28_PARIS_Noyau_Org _15_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5053610431952678,1122,8976
graph_1_2025_01_28_PARIS_Noyau_Org _17_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5846476755567664,517,4136
graph_1_2025_01_28_PARIS_Noyau_Org _18_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5443182699460395,677,5416
graph_1_2025_01_28_PARIS_Noyau_Org _3_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4881246604465602,1895,15160
graph_1_2025_01_28_PARIS_Noyau_Org _4_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4562718695727052,1436,11488
graph_1_2025_01_28_PARIS_Noyau_Org _5_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5069983470290219,978,7824
graph_1_2025_01_28_PARIS_Noyau_Org _7_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4962105741480742,800,6400
graph_1_2025_01_28_PARIS_Noyau_Org _8_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5152049572267161,1103,8824
graph_1_2025_01_28_PARIS_Noyau_Org _9_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4928682652472975,992,7936
graph_1_2025_02_05_PARIS_Noyau_Org _10_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5479674278712741,780,6240
graph_1_2025_02_05_PARIS_Noyau_Org _11_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4885408826162866,2228,17824
graph_1_2025_02_05_PARIS_Noyau_Org _1_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4798809531357129,1103,8824
graph_1_2025_02_05_PARIS_Noyau_Org _2_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5017439139357476,1298,10384
graph_1_2025_02_05_PARIS_Noyau_Org _5_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4954117984976661,1118,8944
graph_1_2025_02_05_PARIS_Noyau_Org _7_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4971724048139142,1590,12720
graph_1_2025_02_05_PARIS_Noyau_Org _8_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.46904218043634444,1905,15240
graph_1_2025_02_05_PARIS_Noyau_Org _9_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.45303294579680037,2833,22664
graph_1_2025_02_14_PARIS_Noyau_Org _10_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.503520592323028,1478,11824
graph_1_2025_02_14_PARIS_Noyau_Org _11_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5290396238794816,1124,8992
graph_1_2025_02_14_PARIS_Noyau_Org _13_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4746549569091536,1251,10008
graph_1_2025_02_14_PARIS_Noyau_Org _14_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4964739464739465,925,7400
graph_1_2025_02_14_PARIS_Noyau_Org _16_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5356501981445853,786,6288
graph_1_2025_02_14_PARIS_Noyau_Org _17_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.544657378615687,982,7856
graph_1_2025_02_14_PARIS_Noyau_Org _18_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4523883320586617,2002,16016
graph_1_2025_02_14_PARIS_Noyau_Org _3_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4973559872414834,786,6288
graph_1_2025_02_14_PARIS_Noyau_Org _6_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5006810295793347,885,7080
graph_1_2025_02_14_PARIS_Noyau_Org _7_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.48656605754950444,1027,8216
graph_1_2025_02_14_PARIS_Noyau_Org _8_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5305894198836782,836,6688
graph_1_2025_02_14_PARIS_Noyau_Org _9_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4767402225636116,1257,10056
graph_1_2025_03_03_PARIS_Noyau_Org _10_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4993794702514554,1078,8624
graph_1_2025_03_03_PARIS_Noyau_Org _11_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5164073720477661,1015,8120
graph_1_2025_03_03_PARIS_Noyau_Org _2_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4929072550299425,1027,8216
graph_1_2025_03_03_PARIS_Noyau_Org _3_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.49322914939798057,462,3696
graph_1_2025_03_03_PARIS_Noyau_Org _6_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5207861138861138,1000,8000
graph_1_2025_03_03_PARIS_Noyau_Org _7_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4868295288067649,2336,18688
graph_1_2025_03_19_PARIS_Noyau_Org _10_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.49812826182748393,1157,9256
graph_1_2025_03_19_PARIS_Noyau_Org _11_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.48870864121202123,2741,21928
graph_1_2025_03_19_PARIS_Noyau_Org _13_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.49326176790827225,2546,20368
graph_1_2025_03_19_PARIS_Noyau_Org _14_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5153724809050253,1014,8112
graph_1_2025_03_19_PARIS_Noyau_Org _15_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4907754076871724,2516,20128
graph_1_2025_03_19_PARIS_Noyau_Org _1_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4816315557588658,974,7792
graph_1_2025_03_19_PARIS_Noyau_Org _2_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5242626309635027,857,6856
graph_1_2025_03_19_PARIS_Noyau_Org _4_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.49475422725422724,1920,15360
graph_1_2025_03_19_PARIS_Noyau_Org _5_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5231045068815452,601,4808
graph_1_2025_03_19_PARIS_Noyau_Org _7_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4944456228702804,1752,14016
graph_1_2025_03_19_PARIS_Noyau_Org _8_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5011007191471754,1679,13432
graph_1_2025_03_20_PARIS_Noyau_Org _10_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4949646986217361,1627,13016
graph_1_2025_03_20_PARIS_Noyau_Org _11_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5051813800051858,1277,10216
graph_1_2025_03_20_PARIS_Noyau_Org _12_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5532164480734248,911,7288
graph_1_2025_03_20_PARIS_Noyau_Org _13_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5046606650054926,986,7888
graph_1_2025_03_20_PARIS_Noyau_Org _14_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.506786288055799,961,7688
graph_1_2025_03_20_PARIS_Noyau_Org _15_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4877861551366153,2608,20864
graph_1_2025_03_20_PARIS_Noyau_Org _16_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.511515779473526,852,6816
graph_1_2025_03_20_PARIS_Noyau_Org _1_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4957129795008583,990,7920
graph_1_2025_03_20_PARIS_Noyau_Org _20_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5109990801255861,996,7968
graph_1_2025_03_20_PARIS_Noyau_Org _23_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.47924989240778715,1881,15048
graph_1_2025_03_20_PARIS_Noyau_Org _24_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.49123660926293167,1171,9368
graph_1_2025_03_20_PARIS_Noyau_Org _25_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5065274767870704,886,7088
graph_1_2025_03_20_PARIS_Noyau_Org _26_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4895309245656653,1871,14968
graph_1_2025_03_20_PARIS_Noyau_Org _27_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.9434343434343435,11,88
graph_1_2025_03_20_PARIS_Noyau_Org _28_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5290979214187405,586,4688
graph_1_2025_03_20_PARIS_Noyau_Org _29_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5224991928913497,765,6120
graph_1_2025_03_20_PARIS_Noyau_Org _2_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5624166805416805,640,5120
graph_1_2025_03_20_PARIS_Noyau_Org _3_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.4920147983492035,1555,12440
graph_1_2025_03_20_PARIS_Noyau_Org _4_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5176721995157749,1074,8592
graph_1_2025_03_20_PARIS_Noyau_Org _5_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5004208754208754,1170,9360
graph_1_2025_03_20_PARIS_Noyau_Org _6_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5669650838269826,811,6488
graph_1_2025_03_20_PARIS_Noyau_Org _7_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.5694071206571206,80,640
graph_1_2025_03_20_PARIS_Noyau_Org _8_cystic_J7_40X_8bit_Cystiques.pt,train,Cystiques,0.472782862970363,1600,12800
graph_2_2024_03_12_PARIS_Noyau_org_10_(8-bits)_Cystiques.pt,train,Cystiques,0.5503555668650008,212,1696
graph_2_2024_03_12_PARIS_Noyau_org_5_(8-bits)_Cystiques.pt,train,Cystiques,0.9434343434343435,11,88
